"query","search interest","increase percent"
"butter board höhle der löwen",2,"Breakout"
"stellantis rückruf brandgefahr",2,"Breakout"
"ferrero küsschen iced coffee",2,"Breakout"
"kostenlose mitversicherung ehepartner",2,"Breakout"
"todd howard",1,"Breakout"
"anabox smart",1,"Breakout"
"edin dzeko schalke",1,"Breakout"
"coffee nerd heidelberg",1,"3.850 %"
"bouya coffee supreme",1,"3.550 %"
"rootery coffee",12,"3.450 %"
"netto coffee b",5,"1.200 %"
"arbeitsfähigkeit",3,"1.050 %"
"kyto coffee düsseldorf",2,"250 %"
"coffee b maschine",8,"250 %"
"mikel coffee sindelfingen",1,"200 %"
"esn flexpresso protein coffee",2,"200 %"
"usa trump",2,"190 %"
"coffee b balls",3,"190 %"
"coffee b kapseln",5,"170 %"
"coffee b kaffeemaschine",4,"150 %"
"coffee shop in der nähe",2,"150 %"
"coffee brothers worms",2,"130 %"
"instinct coffee hamburg",2,"120 %"
"good karma coffee",1,"110 %"
"black coffee nürnberg tickets",1,"110 %"
"alps coffee",3,"110 %"
"iced coffee more",49,"100 %"
"plex coffee",2,"90 %"
"more iced coffee",48,"90 %"
"stanley coffee cup",4,"90 %"
"dritan alsela coffee",1,"90 %"
"black coffee line dance",2,"80 %"
"coffee brew krefeld",1,"80 %"
"cars and coffee",10,"70 %"
"protein iced coffee",26,"70 %"
"coffee balls",7,"70 %"
"black coffee nürnberg",9,"70 %"
"iced coffee protein",25,"70 %"
"kaffeemaschine",11,"70 %"
"snocks coffee",2,"70 %"
"more protein",24,"70 %"
"coffee shop celle",1,"70 %"
"coffee shops near me",3,"70 %"
"more nutrition",9,"60 %"
"coffee b entkalken",3,"60 %"
"more",77,"60 %"
"more protein iced coffee",19,"60 %"
"bulletproof coffee",5,"60 %"
"protein ice coffee",3,"60 %"
"more coffee",76,"60 %"
